NdcSearch,Ndc
A00597002402,00597002402
A59762500802,59762500802
A11980077905,11980077905
A25208000203,25208000203
A00009045003,00009045003
A61570017261,61570017261
A00406206890,00406206890
A17478050101,17478050101
A00781210301,00781210301
A00548146900,00548146900
A68084024301,68084024301
A00024079375,00024079375
A51079088920,51079088920
A00009513601,00009513601
A00182116189,00182116189
A00173094955,00173094955
A00944049302,00944049302
A68084028801,68084028801
A51672203701,51672203701
A63323038910,63323038910
A00087076102,00087076102
A50458030201,50458030201
A00409707426,00409707426
A68084031901,68084031901
A00832030300,00832030300
A59762503101,59762503101
A63739057310,63739057310
A68180051201,68180051201
A17478020910,17478020910
A68180031906,68180031906
A24208091019,24208091019
A00008070101,00008070101
A00004025001,00004025001
A00409335601,00409335601
A44567023610,44567023610
A63739048610,63739048610
A52544047030,52544047030
A54162001715,54162001715
A49884010411,49884010411
A00378026101,00378026101
A00597018390,00597018390
A63323012820,63323012820
A60793010501,60793010501
A63739035010,63739035010
A00173017855,00173017855
A00093312301,00093312301
A00597018590,00597018590
A00037024130,00037024130
A00904630061,00904630061
A70121145407,70121145407
A00093721201,00093721201
A00378616001,00378616001
A51079069020,51079069020
A49884086902,49884086902
A00591564301,00591564301
A00172436310,00172436310
A55390005210,55390005210
A00074349201,00074349201
A63459054128,63459054128
A55390009110,55390009110
A66689089840,66689089840
A51079081420,51079081420
A00003362412,00003362412
A51079094708,51079094708
A54868255700,54868255700
A00517265025,00517265025
A60793020505,60793020505
A00064081015,00064081015
A00555099702,00555099702
A51079046020,51079046020
A00029607531,00029607531
A49884065001,49884065001
A30698014301,30698014301
A00093117201,00093117201
A00169750111,00169750111
A00456140530,00456140530
A50242013468,50242013468
A57902024901,57902024901
A68734071010,68734071010
A36000001101,36000001101
A00430075327,00430075327
A00182853489,00182853489
A63323040220,63323040220
A51079032120,51079032120
A60687016301,60687016301
A00173052000,00173052000
A63323056884,63323056884
A69918050105,69918050105
A60687021501,60687021501
A42023018910,42023018910
A00472153304,00472153304
A10019014501,10019014501
A42998020301,42998020301
A63739037610,63739037610
A00085173302,00085173302
A68382014014,68382014014
A63323056990,63323056990
A00065401303,00065401303
A00998020215,00998020215
A61553030472,61553030472
A59338077510,59338077510
A50111032301,50111032301
A00904630361,00904630361
A24208048510,24208048510
A00904637661,00904637661
A63323024120,63323024120
A00091334201,00091334201
A68115017430,68115017430
A00054001720,00054001720
A00406052710,00406052710
A00258368990,00258368990
A68084018301,68084018301
A63323061603,63323061603
A00037683015,00037683015
A63323087115,63323087115
A00168006060,00168006060
A00597035556,00597035556
A59676030401,59676030401
A60687029301,60687029301
A00904627108,00904627108
A00603358121,00603358121
A00517420125,00517420125
A17478010002,17478010002
A00338007704,00338007704
A00169183311,00169183311
A11845011831,11845011831
A00078051005,00078051005
A63323028620,63323028620
A17478020102,17478020102
A00574709012,00574709012
A00182845389,00182845389
A59762308001,59762308001
A00406905076,00406905076
A51079092920,51079092920
A00884044904,00884044904
A17478050305,17478050305
A00472075516,00472075516
A00078048535,00078048535
A00904292461,00904292461
A00338358048,00338358048
A00472040030,00472040030
A00904641961,00904641961
A50268031112,50268031112
A51991014417,51991014417
A00173044902,00173044902
A76329146905,76329146905
A00409792202,00409792202
A00338004803,00338004803
A25010021027,25010021027
A10019051002,10019051002
A67457035010,67457035010
A00143125001,00143125001
A16729004201,16729004201
A51079021020,51079021020
A00555101016,00555101016
A00054858224,00054858224
A60505252201,60505252201
A24208078055,24208078055
A00536478701,00536478701
A63323065820,63323065820
A61314022705,61314022705
A00703204503,00703204503
A51672125802,51672125802
A00024584305,00024584305
A00091353701,00091353701
A00087565041,00087565041
A68016001129,68016001129
A43598044674,43598044674
A00069582043,00069582043
A00131248035,00131248035
A00168001231,00168001231
A68084029121,68084029121
A00409189301,00409189301
A00008499002,00008499002
A61748002501,61748002501
A00904678061,00904678061
A24987024256,24987024256
A76439030910,76439030910
A68084042301,68084042301
A59011044020,59011044020
A68094000261,68094000261
A00406035762,00406035762
A00517250210,00517250210
A00338601048,00338601048
A00409477750,00409477750
A64980017901,64980017901
A10939020111,10939020111
A49884031555,49884031555
A00372000604,00372000604
A00029320613,00029320613
A40042005210,40042005210
A00904589261,00904589261
A00006306100,00006306100
A49502010202,49502010202
A63739051810,63739051810
A59762100301,59762100301
A17772010201,17772010201
A00781210401,00781210401
A51079095220,51079095220
A50268068515,50268068515
A63739021310,63739021310
A00409433201,00409433201
A00078041420,00078041420
A60505011200,60505011200
A63323016101,63323016101
A00409080601,00409080601
A00574410310,00574410310
A49452355001,49452355001
A59762371809,59762371809
A25021020405,25021020405
A00054418425,00054418425
A00054000725,00054000725
A10019007002,10019007002
A00904292061,00904292061
A63459060106,63459060106
A51672412401,51672412401
A63323007620,63323007620
A00115211101,00115211101
A55513002304,55513002304
A00008117901,00008117901
A69547035302,69547035302
A67457019015,67457019015
A38779061408,38779061408
A50242004164,50242004164
A66479053002,66479053002
A54868248901,54868248901
A51079027720,51079027720
A42998030202,42998030202
A00185022360,00185022360
A00591387044,00591387044
A51285053422,51285053422
A51079048620,51079048620
A63739067110,63739067110
A00085117701,00085117701
A63323026920,63323026920
A00065009265,00065009265
A51079055720,51079055720
A44567042024,44567042024
A68084050201,68084050201
A00703841101,00703841101
A59762100101,59762100101
A00703003104,00703003104
A63323049227,63323049227
A31722093502,31722093502
A00517460525,00517460525
A00026556161,00026556161
A68180012401,68180012401
A25021018482,25021018482
A64764054411,64764054411
A77333098310,77333098310
A51079008720,51079008720
A00456224030,00456224030
A58160082311,58160082311
A00338001711,00338001711
A68084061221,68084061221
A00597003234,00597003234
A68462043518,68462043518
A00409955810,00409955810
A00338050748,00338050748
A60687038194,60687038194
A51079053120,51079053120
A43068011304,43068011304
A76125090010,76125090010
A55566240000,55566240000
A51079081220,51079081220
A42549072950,42549072950
A55111029209,55111029209
A00409166010,00409166010
A00781526664,00781526664
A13533060320,13533060320
A00173039442,00173039442
A00406900076,00406900076
A00409904202,00409904202
A61958140101,61958140101
A63323014010,63323014010
A00409234488,00409234488
A00517571025,00517571025
A32909071103,32909071103
A00496074804,00496074804
A68084056501,68084056501
A00904644961,00904644961
A50383093335,50383093335
A00121059530,00121059530
A38341010677,38341010677
A00093748520,00093748520
A51079098620,51079098620
A55390076210,55390076210
A54738091301,54738091301
A16500002322,16500002322
A63323022905,63323022905
A55390013110,55390013110
A00703095803,00703095803
A00172428610,00172428610
A54092017212,54092017212
A24571010305,24571010305
A00007550040,00007550040
A63323048737,63323048737
A00904053061,00904053061
A59762374202,59762374202
A00409126130,00409126130
A55390007710,55390007710
A00187301220,00187301220
A66993006885,66993006885
A60687028201,60687028201
A45802011222,45802011222
A00310028239,00310028239
A00206886002,00206886002
A70257056301,70257056301
A00069600121,00069600121
A39822015101,39822015101
A59366274201,59366274201
A00536338101,00536338101
A00904674561,00904674561
A41167413102,41167413102
A00228262011,00228262011
A24357070115,24357070115
A63323016505,63323016505
A55390013401,55390013401
A68084039601,68084039601
A00781315295,00781315295
A49702022418,49702022418
A00093873901,00093873901
A00409798355,00409798355
A00264780010,00264780010
A00078034445,00078034445
A00004080285,00004080285
A61958250101,61958250101
A42543070590,42543070590
A00409793519,00409793519
A60687021401,60687021401
A70710100802,70710100802
A62037069930,62037069930
